Parameter,Corr_Efficiency,P_Efficiency,Corr_TorqueRipple,P_TorqueRipple,Corr_Score,P_Score,Corr_Cost,Corr_PowerDensity
Dr_in,0.702,0.0,-0.553,0.0,0.608,0.0,-0.341,0.398
Air_gap,-0.691,0.0,0.841,0.0,-0.825,0.0,-0.095,-0.749
Lamda,-0.548,0.0,0.411,0.0,-0.448,0.0,0.308,-0.19
Bridge,-0.148,0.0049,0.312,0.0,-0.268,0.0,-0.18,-0.327
Hs0,-0.236,0.0,0.065,0.2167,-0.106,0.0441,0.357,-0.008
Hs1,-0.122,0.0204,-0.093,0.0772,0.053,0.3198,0.408,0.194
Hs2,-0.378,0.0,0.471,0.0,-0.468,0.0,-0.156,-0.424
Bs0,-0.3,0.0,0.374,0.0,-0.358,0.0,-0.298,-0.15
Bs1,0.02,0.7098,-0.221,0.0,0.179,0.0006,0.547,0.256
Bs2,-0.408,0.0,0.384,0.0,-0.412,0.0,0.062,-0.22
O1,-0.188,0.0003,0.426,0.0,-0.383,0.0,-0.506,-0.502
O2,0.548,0.0,-0.484,0.0,0.501,0.0,-0.146,0.415
B1,-0.032,0.5398,-0.128,0.015,0.101,0.0547,0.296,0.253
rib,-0.653,0.0,0.467,0.0,-0.513,0.0,0.48,-0.265
hrib,0.146,0.0054,-0.172,0.001,0.177,0.0007,0.03,0.182
Mt,-0.344,0.0,-0.09,0.0875,-0.002,0.9714,0.886,0.503
Mw,-0.055,0.2965,-0.091,0.0831,0.067,0.2064,0.665,0.188
magDmin,-0.259,0.0,-0.031,0.5592,-0.032,0.5461,0.335,0.305
thet_deg,-0.07,0.1853,0.277,0.0,-0.244,0.0,-0.383,-0.344
