Dr_in,Air_gap,Lamda,Bridge,Hs0,Hs1,Hs2,Bs0,Bs1,Bs2,O1,O2,B1,rib,hrib,Mt,Mw,magDmin,thet_deg,generation,score,efficiency,torque_ripple,power_density,cost
50.0,1.5,1.0,2.0,1.9,1.3,28.0,4.0,9.0,5.0,1.0,7.0,4.7,8.0,6.0,6.0,16.0,0.0,81.0,1,47.805732478632486,88.45555555555556,40.75,0.2991538461538461,148.2
50.0,1.4,1.0,2.9,1.9,2.0,26.0,2.5,8.5,14.0,2.0,6.0,4.2,14.0,4.5,5.8,18.0,8.0,72.0,1,50.45284273504272,89.58555555555554,39.225,0.28530769230769226,151.1
70.0,0.9,0.9,1.4,1.7,1.9,22.0,3.0,5.5,10.0,5.0,7.0,3.7,12.0,3.5,5.0,22.0,9.0,23.0,1,64.51221709401709,93.95555555555555,29.55,0.30992307692307697,144.9
70.0,1.1,1.0,1.1,1.9,1.1,22.0,3.0,6.5,14.0,3.0,7.0,3.7,3.0,2.0,5.6,16.0,6.0,38.0,1,62.36555726495727,92.97111111111111,30.725,0.3326923076923077,140.7
70.0,1.1,0.8,1.8,1.3,2.0,20.0,2.5,7.0,8.0,7.0,3.0,3.7,15.0,2.0,4.8,26.0,5.0,63.0,1,61.43498888888889,92.93555555555555,31.6,0.29800000000000004,148.7
60.0,0.8,0.9,1.7,1.1,1.4,18.0,3.0,6.0,10.0,8.0,6.5,3.2,4.0,4.5,5.6,30.0,4.0,23.0,1,62.604581196581194,92.96555555555555,30.475,0.33338461538461533,158.0
75.0,1.5,1.0,2.3,1.7,1.6,19.0,3.0,7.5,13.0,3.0,4.0,3.7,8.0,5.0,5.8,16.0,4.0,69.0,1,56.739232478632495,91.70222222222223,35.074999999999996,0.3211538461538461,145.7
65.0,1.1,1.0,1.0,1.8,1.1,30.0,2.0,4.5,8.0,13.0,3.0,3.7,3.0,4.0,6.0,18.0,10.0,45.0,1,62.573535042735045,92.55555555555556,30.1,0.3346923076923077,148.1
85.0,1.2,1.0,1.3,1.8,1.0,21.0,2.5,9.0,9.0,9.0,2.5,3.7,11.0,6.0,4.6,18.0,2.0,2.0,1,65.58563760683761,94.5988888888889,29.125,0.3132307692307692,134.6
65.0,1.0,1.0,2.3,1.6,1.6,25.0,4.0,4.0,12.0,6.0,4.5,3.7,7.0,3.0,5.0,12.0,5.0,40.0,1,58.752930769230765,92.51666666666667,33.875,0.30946153846153845,130.4
70.0,1.2,1.0,2.8,1.2,1.7,20.0,3.5,7.0,11.0,9.0,2.5,3.7,12.0,4.0,5.0,22.0,4.0,25.0,1,58.25366153846154,93.05,34.9,0.30392307692307696,144.9
55.0,0.8,0.9,2.0,1.2,1.4,25.0,2.0,7.5,5.0,13.0,6.0,3.7,13.0,2.0,5.0,20.0,8.0,2.0,1,61.63802991452991,92.63888888888889,31.1,0.2936153846153846,143.0
70.0,1.1,1.0,1.1,1.9,1.1,22.0,3.0,6.5,14.0,3.0,7.0,3.7,3.0,2.0,5.6,16.0,6.0,38.0,2,62.36555726495727,92.97111111111111,30.725,0.3326923076923077,140.7
60.0,0.8,0.9,1.7,1.1,1.4,18.0,3.0,6.0,10.0,8.0,6.5,3.2,4.0,4.5,5.6,30.0,4.0,23.0,2,62.604581196581194,92.96555555555555,30.475,0.33338461538461533,158.0
65.0,1.1,1.0,1.0,1.8,1.1,30.0,2.0,4.5,8.0,13.0,3.0,3.7,3.0,4.0,6.0,18.0,10.0,45.0,2,62.573535042735045,92.55555555555556,30.1,0.3346923076923077,148.1
85.0,1.1,0.8,1.3,1.0,1.0,19.0,2.5,4.5,8.0,13.0,3.5,3.2,3.0,4.0,4.4,12.0,10.0,45.0,2,66.84410170940171,94.99555555555555,28.275,0.32769230769230767,120.9
60.0,0.8,0.9,1.7,1.3,1.4,18.0,4.0,6.0,10.0,8.0,6.5,3.2,4.0,4.5,5.6,30.0,4.0,23.0,2,61.00458119658119,92.56555555555555,31.675,0.33338461538461533,158.0
75.0,1.5,1.0,2.3,1.7,1.6,19.0,3.0,7.5,13.0,3.0,4.0,3.7,8.0,5.0,5.8,16.0,4.0,69.0,2,56.739232478632495,91.70222222222223,35.074999999999996,0.3211538461538461,145.7
85.0,1.2,1.0,1.3,1.8,1.0,21.0,2.5,9.0,9.0,9.0,2.5,3.7,11.0,6.0,4.6,18.0,2.0,2.0,2,65.58563760683761,94.5988888888889,29.125,0.3132307692307692,134.6
65.0,1.0,1.0,2.3,1.6,1.6,25.0,4.0,4.0,12.0,6.0,4.5,3.7,7.0,3.0,5.0,12.0,5.0,40.0,2,58.752930769230765,92.51666666666667,33.875,0.30946153846153845,130.4
65.0,1.2,1.0,1.0,1.9,1.0,20.0,2.0,9.0,8.0,7.0,2.5,3.7,11.0,6.0,6.0,18.0,0.0,2.0,2,61.24530427350428,92.2388888888889,31.1,0.3142307692307692,152.1
65.0,1.0,1.0,2.3,1.6,1.6,24.0,3.5,3.0,12.0,8.0,6.0,3.7,7.0,3.0,5.0,14.0,5.0,40.0,2,59.552630769230774,92.71666666666667,33.275,0.31046153846153846,132.8
65.0,1.0,0.9,2.3,1.3,1.6,25.0,4.0,4.0,12.0,6.0,3.5,3.7,7.0,2.5,5.0,12.0,5.0,40.0,2,58.752930769230765,92.51666666666667,33.875,0.30946153846153845,130.4
65.0,1.0,1.0,2.3,1.7,1.6,19.0,3.0,3.0,14.0,3.0,4.0,3.7,8.0,3.0,5.8,12.0,4.0,70.0,2,59.96761025641027,91.93,32.074999999999996,0.3191538461538461,140.9
70.0,1.1,1.0,1.1,1.9,1.1,22.0,3.0,6.5,14.0,3.0,7.0,3.7,3.0,2.0,5.6,16.0,6.0,38.0,3,62.36555726495727,92.97111111111111,30.725,0.3326923076923077,140.7
85.0,1.1,0.8,1.3,1.0,1.0,19.0,2.5,4.5,8.0,13.0,3.5,3.2,3.0,4.0,4.4,12.0,10.0,45.0,3,66.84410170940168,94.99555555555554,28.275,0.32769230769230767,120.9
80.0,1.1,1.0,1.1,2.0,1.1,22.0,3.0,6.5,14.0,3.0,7.0,3.7,3.0,3.5,5.6,16.0,5.0,38.0,3,64.27026781479984,93.65608167673159,29.508427766904116,0.33906142988963905,140.75042991735242
85.0,1.2,1.0,1.3,1.8,1.0,21.0,2.5,9.0,9.0,9.0,2.5,3.7,11.0,6.0,4.6,18.0,2.0,2.0,3,65.58563760683761,94.5988888888889,29.125,0.3132307692307692,134.6
65.0,1.0,1.0,2.3,1.6,1.6,25.0,4.0,4.0,12.0,6.0,4.5,3.7,7.0,3.0,5.0,12.0,5.0,40.0,3,58.75293076923078,92.51666666666668,33.875,0.30946153846153845,130.4
65.0,1.0,0.9,2.3,1.3,1.6,25.0,4.0,4.0,12.0,6.0,3.5,3.7,7.0,2.5,5.0,12.0,5.0,40.0,3,58.75293076923078,92.51666666666668,33.875,0.30946153846153845,130.4
65.0,1.0,1.0,2.3,1.7,1.6,19.0,3.0,3.0,14.0,3.0,4.0,3.7,8.0,3.0,5.8,12.0,4.0,70.0,3,59.96761025641027,91.93,32.074999999999996,0.3191538461538461,140.9
75.0,1.2,1.0,1.3,1.8,1.6,21.0,1.5,7.5,13.0,4.0,2.5,3.7,11.0,6.0,5.8,24.0,4.0,1.0,3,63.805884906733084,93.37422106983053,29.67835621756047,0.3223349038789563,153.44219242934733
75.0,1.1,1.0,1.1,1.7,1.6,22.0,3.0,7.5,14.0,3.0,7.0,3.7,3.0,2.5,5.6,20.0,4.0,38.0,3,63.29898251915325,93.3343765566356,30.155311834393203,0.33609062407125134,144.38254537431908
65.0,0.9,1.0,2.3,1.6,1.6,30.0,3.5,3.0,12.0,13.0,3.0,3.7,3.0,3.0,5.0,18.0,10.0,40.0,3,60.50461706084985,92.87020927082025,32.48119446343942,0.32131449322827776,135.164979435352
65.0,1.1,1.0,1.0,1.5,1.1,30.0,1.5,4.5,8.0,13.0,3.0,3.7,3.0,4.0,6.0,18.0,10.0,45.0,3,63.10016953086237,92.720432388581,29.73776478706423,0.3333752801827596,147.55713223737666
85.0,1.5,1.0,2.3,1.7,1.0,19.0,3.0,9.0,9.0,8.0,2.5,3.7,8.0,6.0,4.6,16.0,2.0,72.0,3,59.627354870155855,93.130405807908,33.61546023616508,0.3135638113339734,133.11782176218438
70.0,1.1,1.0,1.1,1.9,1.1,22.0,3.0,6.5,14.0,3.0,7.0,3.7,3.0,2.0,5.6,16.0,6.0,38.0,4,62.36555726495727,92.97111111111111,30.725,0.3326923076923077,140.7
85.0,1.1,0.8,1.3,1.0,1.0,19.0,2.5,4.5,8.0,13.0,3.5,3.2,3.0,4.0,4.4,12.0,10.0,45.0,4,66.84410170940171,94.99555555555555,28.275,0.32769230769230767,120.9
80.0,1.1,1.0,1.1,2.0,1.1,22.0,3.0,6.5,14.0,3.0,7.0,3.7,3.0,3.5,5.6,16.0,5.0,38.0,4,64.9744530629006,93.85770051473449,29.007033996085482,0.34138519168334697,140.71815477024685
70.0,0.8,1.0,1.1,1.6,1.1,22.0,2.0,6.5,14.0,3.0,7.0,3.7,3.0,2.0,5.6,16.0,6.0,38.0,4,65.9640311610247,93.77082635254459,27.92838323142138,0.3371259934043978,140.92487040210435
70.0,1.1,1.0,1.1,1.6,1.1,22.0,3.0,6.5,14.0,3.0,7.0,4.7,3.0,2.0,5.6,14.0,6.0,38.0,4,62.542721967483125,93.03642852904647,30.613573437696328,0.33266090080516264,139.39072280881535
65.0,1.0,0.9,2.3,1.3,1.6,25.0,4.0,4.0,12.0,6.0,3.5,3.7,7.0,2.5,5.0,12.0,5.0,40.0,4,58.75293076923078,92.51666666666668,33.875,0.30946153846153845,130.4
85.0,1.2,1.0,1.3,1.7,1.0,21.0,1.5,9.0,7.0,8.0,2.5,3.7,11.0,6.0,4.6,18.0,2.0,2.0,4,66.23032631705257,94.70944709710918,28.590677413794573,0.31328246954990696,135.2538031109826
80.0,1.1,1.0,1.1,2.0,1.1,22.0,3.0,5.0,14.0,6.0,7.0,3.7,3.0,3.0,5.6,16.0,5.0,38.0,4,64.52523869091,93.69743469452257,29.295185296886824,0.33989593080011665,140.8760163774034
75.0,1.2,1.0,1.3,1.8,1.6,21.0,1.5,7.5,13.0,4.0,2.5,3.7,11.0,6.0,5.8,24.0,4.0,1.0,4,64.30228841257777,93.45258625180566,29.26020823832177,0.32354825770411655,155.59118927456504
90.0,1.2,1.0,2.3,1.7,1.0,21.0,2.5,3.0,14.0,3.0,4.0,3.7,8.0,6.0,4.6,12.0,0.0,70.0,4,62.92582328867651,93.70396294886656,30.89480851627335,0.32093497404424776,131.3958928164685
65.0,0.9,1.0,2.3,1.6,1.6,30.0,3.5,3.0,12.0,13.0,3.0,3.7,3.0,3.0,5.0,18.0,10.0,40.0,4,60.698982347034146,92.93194200416195,32.34923000683819,0.32283629448525697,135.4433925967267
85.0,1.2,1.0,1.3,1.8,1.0,21.0,2.5,9.0,9.0,9.0,2.5,3.7,11.0,6.0,4.6,18.0,2.0,2.0,4,65.58563760683761,94.5988888888889,29.125,0.3132307692307692,134.6
85.0,1.1,0.8,1.3,1.0,1.0,19.0,2.5,4.5,8.0,13.0,3.5,3.2,3.0,4.0,4.4,12.0,10.0,45.0,5,66.84410170940171,94.99555555555555,28.275,0.32769230769230767,120.9
70.0,0.8,1.0,1.1,1.6,1.1,22.0,2.0,6.5,14.0,3.0,7.0,3.7,3.0,2.0,5.6,16.0,6.0,38.0,5,66.87638473506964,93.95297442699918,27.19862395108226,0.33794047683411094,140.80793779301007
85.0,1.2,1.0,1.3,1.7,1.0,21.0,1.5,9.0,7.0,8.0,2.5,3.7,11.0,6.0,4.6,18.0,2.0,2.0,5,66.72708818774079,94.85995682883464,28.244525158621393,0.31325558538395537,134.91382549327164
80.0,1.1,1.0,1.1,2.0,1.1,22.0,3.0,5.0,14.0,6.0,7.0,3.7,3.0,3.0,5.6,16.0,5.0,38.0,5,64.96480434941456,93.83974643114861,28.998688942505677,0.341350046784056,140.78448786115365
70.0,0.8,0.9,1.4,1.6,1.1,22.0,3.0,6.5,14.0,3.0,7.0,3.7,2.0,2.0,5.6,14.0,5.0,38.0,5,64.49967478602753,93.44483121564492,29.067229478599508,0.33695645869513324,139.21554109637452
80.0,1.0,1.0,1.1,2.0,1.1,22.0,3.0,6.5,14.0,3.0,7.0,4.7,3.0,5.0,5.6,16.0,5.0,38.0,5,65.280790316201,93.8635583312996,28.70650921107285,0.3412174450186214,140.60257960518356
85.0,1.3,0.8,1.1,2.0,1.0,19.0,3.0,6.5,14.0,3.0,3.5,3.2,3.0,4.0,5.6,10.0,10.0,38.0,5,64.06152338586912,93.71590256317185,29.77823424960659,0.3390298626932472,136.9795771282894
90.0,1.1,1.0,1.3,1.0,1.1,22.0,3.5,4.5,7.0,13.0,7.0,3.7,3.0,3.5,4.6,16.0,5.0,45.0,5,65.88703707093066,94.65826458271172,28.894800007037666,0.3322997258289739,127.73210297362635
85.0,1.2,1.0,1.5,1.8,1.0,21.0,1.5,9.0,7.0,8.0,3.5,3.7,11.0,6.0,5.0,18.0,3.0,2.0,5,66.44807787969538,94.73859949255194,28.402937758404583,0.31635774187423293,137.28817616727386
75.0,0.8,1.0,1.0,1.8,1.6,22.0,2.0,9.0,13.0,4.0,2.0,3.2,3.0,2.0,5.4,24.0,4.0,1.0,5,66.59704419671633,93.94262127443918,27.465282879249038,0.33775577522999345,147.5162582664493
80.0,1.1,1.0,1.1,2.0,1.1,22.0,3.0,6.5,14.0,3.0,7.0,3.7,3.0,3.5,5.6,16.0,5.0,38.0,5,64.84241832888172,93.81989698260895,29.101045328113976,0.3409494863470267,140.72420636032916
