Dr_in,Air_gap,Lamda,Bridge,Hs0,Hs1,Hs2,Bs0,Bs1,Bs2,O1,O2,B1,rib,hrib,Mt,Mw,magDmin,Thet_deg,generation,score,efficiency,torque_ripple,power_density,cost
75.0,1.0,1.0,2.8,2.0,1.0,27.0,3.5,7.0,14.0,1.0,7.0,3.7,12.0,2.5,5.8,30.0,0.0,28.0,1,87.26638303296055,97.6526813106021,10.473845562095502,0.276940408814987,152.768759860657
90.0,1.3,1.0,2.9,1.7,1.3,34.0,4.0,9.0,10.0,1.0,4.0,3.7,12.0,2.5,4.0,26.0,6.0,52.0,1,90.24970643209275,98.04044277511886,7.848861037474424,0.234370068242998,177.181019019605
75.0,0.9,0.8,3.0,1.5,1.3,19.0,3.0,3.0,8.0,8.0,5.0,4.2,14.0,3.0,4.6,12.0,2.0,51.0,1,-39.66266592652709,65.6865046443807,105.33142646549143,0.0315633247919473,100.577303437017
75.0,0.5,1.0,3.0,1.6,1.4,35.0,3.0,8.0,13.0,8.0,3.5,3.2,2.0,2.5,4.6,22.0,2.0,76.0,1,36.312929353276495,92.96193145923496,56.62243467782365,0.0632500510661458,174.577361003671
90.0,1.1,1.0,2.3,1.2,1.0,30.0,4.0,9.0,13.0,8.0,4.5,3.2,10.0,4.5,5.2,26.0,2.0,9.0,1,48.255331119999994,85.0068,36.85,0.268,106.40664
90.0,1.3,1.0,2.9,1.7,1.3,34.0,4.0,9.0,10.0,1.0,4.0,3.7,12.0,2.5,4.0,26.0,6.0,52.0,2,90.24970643209275,98.04044277511886,7.848861037474424,0.234370068242998,177.181019019605
75.0,0.9,0.8,3.0,1.5,1.3,19.0,3.0,3.0,8.0,8.0,5.0,4.2,14.0,3.0,4.6,12.0,2.0,51.0,2,-39.66266592652709,65.6865046443807,105.33142646549143,0.0315633247919473,100.577303437017
75.0,1.0,1.0,2.8,2.0,1.0,27.0,3.5,7.0,14.0,1.0,7.0,3.7,12.0,2.5,6.0,30.0,0.0,17.0,2,87.31322644334361,97.6543777860044,10.428671419586461,0.277186528958459,153.219562660657
90.0,1.1,1.0,2.3,1.2,1.0,27.0,4.0,9.0,13.0,8.0,4.5,3.2,10.0,4.5,5.2,26.0,3.0,9.0,2,48.255331119999994,85.0068,36.85,0.268,106.40664
90.0,1.1,1.0,2.3,1.2,1.0,30.0,4.0,9.0,13.0,8.0,4.5,3.2,10.0,4.5,5.2,26.0,2.0,9.0,2,48.255331119999994,85.0068,36.85,0.268,106.40664
90.0,1.3,1.0,2.9,1.7,1.3,34.0,4.0,9.0,10.0,1.0,4.0,3.7,12.0,2.5,4.0,26.0,6.0,52.0,3,90.24970643209275,98.04044277511886,7.848861037474424,0.234370068242998,177.181019019605
