Parameter,Corr_Efficiency,P_Efficiency,Corr_TorqueRipple,P_TorqueRipple,Corr_Score,P_Score,Corr_Cost,Corr_PowerDensity
Dr_in,0.697,0.0,-0.669,0.0,0.681,0.0,0.349,0.299
Air_gap,-0.654,0.0,0.585,0.0,-0.622,0.0,0.029,0.025
Lamda,-0.577,0.0,0.562,0.0,-0.58,0.0,-0.347,0.007
Bridge,-0.222,0.0,0.586,0.0,-0.524,0.0,-0.374,-0.509
Hs0,-0.279,0.0,0.282,0.0,-0.278,0.0,0.193,0.029
Hs1,-0.563,0.0,0.4,0.0,-0.466,0.0,0.062,0.153
Hs2,-0.474,0.0,0.534,0.0,-0.525,0.0,-0.387,-0.249
Bs0,-0.737,0.0,0.684,0.0,-0.713,0.0,-0.427,-0.069
Bs1,0.301,0.0,-0.186,0.0004,0.225,0.0,-0.023,0.012
Bs2,-0.04,0.4497,0.093,0.0791,-0.069,0.1902,-0.224,0.021
O1,-0.518,0.0,0.598,0.0,-0.598,0.0,-0.589,-0.218
O2,-0.096,0.0696,0.229,0.0,-0.202,0.0001,0.055,-0.014
B1,0.193,0.0002,-0.272,0.0,0.251,0.0,0.491,0.198
rib,0.513,0.0,-0.469,0.0,0.489,0.0,0.416,-0.351
hrib,-0.485,0.0,0.512,0.0,-0.514,0.0,0.035,0.043
Mt,0.077,0.1443,-0.485,0.0,0.409,0.0,0.849,0.754
Mw,0.182,0.0005,-0.169,0.0013,0.178,0.0007,0.577,0.065
magDmin,0.233,0.0,-0.241,0.0,0.255,0.0,0.04,0.142
thet_deg,-0.056,0.2879,0.244,0.0,-0.196,0.0002,-0.216,-0.496
